x1,x2,x3,x4,x5
1.9945460749193264e10,1.994826052892906e10,1.9935201000715904e10,1.994268247497591e10,1.994017741535705e10
1.9945460749193264e10,1.993987603349253e10,1.994329510675178e10,1.9935176409656174e10,1.9946216743307922e10
1.9945460749193264e10,1.9934783412399055e10,1.9940620137808315e10,1.9943349844954506e10,1.994207709844744e10
1.9945460749193264e10,1.9945227950819347e10,1.9941573093271637e10,1.9941408309330322e10,1.9945738434518948e10
1.9945460749193264e10,1.994400227621293e10,1.994671459293594e10,1.994655236367431e10,1.9942206224928226e10
1.9945460749193264e10,1.9937149167758617e10,1.994179907244257e10,1.9943278264596115e10,1.9944913712633347e10
1.9945460749193264e10,1.994532010002291e10,1.9942049452552326e10,1.994457585631222e10,1.9944353540534306e10
1.9945460749193264e10,1.9938741079937717e10,1.9946565695486107e10,1.9947031018560055e10,1.9946163792411865e10
1.9945460749193264e10,1.9944894286480446e10,1.9939738427012234e10,1.993814839011125e10,1.993559317786276e10
1.9945460749193264e10,1.994100422522229e10,1.9941082304030567e10,1.9945702057304474e10,1.9943680983765034e10
1.9945460749193264e10,1.9942701940913063e10,1.993980670998004e10,1.994475144270032e10,1.9943109196537495e10
1.9945460749193264e10,1.9934542447657658e10,1.993970414257008e10,1.99357805185689e10,1.9938374483482903e10
1.9945460749193264e10,1.9945776804084167e10,1.9946908669227562e10,1.9940256406422237e10,1.9942249016113865e10
1.9945460749193264e10,1.9943816815927177e10,1.99470558141055e10,1.994432518635736e10,1.9942280552315277e10
1.9945460749193264e10,1.994422576410355e10,1.9944891302600758e10,1.9941120613470787e10,1.994528042283952e10
1.9945460749193264e10,1.9947816907315804e10,1.9942437035357048e10,1.9941298645060333e10,1.994348698379271e10
1.9945460749193264e10,1.994346443377511e10,1.9947265198021748e10,1.9945476986724834e10,1.9949137762938248e10
1.9945460749193264e10,1.994717240024967e10,1.994432282749377e10,1.994201837791431e10,1.9940182407321114e10
1.9945460749193264e10,1.994305566156513e10,1.9943202756446133e10,1.9949163083052166e10,1.9950122001475292e10
1.9945460749193264e10,1.9942774947934452e10,1.9934654997608543e10,1.9933358307359997e10,1.9938159636511147e10
1.9945460749193264e10,1.9942705650429966e10,1.993926639594195e10,1.994302722322611e10,1.9941557487135376e10
1.9945460749193264e10,1.9944751206123184e10,1.994243334914526e10,1.994070076244749e10,1.9944005602803265e10
1.9945460749193264e10,1.99427359787085e10,1.9939101032309776e10,1.9937181739241287e10,1.9937328812891792e10
1.9945460749193264e10,1.994327405854132e10,1.994362444945966e10,1.993994322177391e10,1.9942706717030933e10
1.9945460749193264e10,1.994796293030577e10,1.9943563696900673e10,1.994707999467785e10,1.9945812046837646e10
1.9945460749193264e10,1.993949296479327e10,1.994137495176267e10,1.993884289632208e10,1.9941029457986645e10
1.9945460749193264e10,1.9948361274369823e10,1.994570028022523e10,1.9947292580489708e10,1.9946827721466236e10
1.9945460749193264e10,1.9945257637055447e10,1.9947559359421154e10,1.9948172763040997e10,1.9948870323524788e10
1.9945460749193264e10,1.9947159042483837e10,1.994355572417191e10,1.994362106477966e10,1.9945371596911743e10
1.9945460749193264e10,1.99393599932972e10,1.9945497573737648e10,1.994610941648009e10,1.9938302979399605e10
1.9945460749193264e10,1.9940933240229675e10,1.994201027124392e10,1.9938431245299576e10,1.9944265390030983e10
1.9945460749193264e10,1.994841133087601e10,1.994998691163685e10,1.994725540340434e10,1.99436856797716e10
1.9945460749193264e10,1.9940857955816605e10,1.9942632086785927e10,1.994177154352262e10,1.9944529467167572e10
1.9945460749193264e10,1.994218215969575e10,1.99454023132989e10,1.994215799593795e10,1.9942651104489693e10
1.9945460749193264e10,1.9941380502545135e10,1.993641746815902e10,1.9933843886855602e10,1.9942299695046474e10
