solar,hydro
0.0,367.94757020467745
0.0,662.3014607783452
0.0,956.6489735819932
0.0,1250.9876387368793
0.0,1299.9839458772217
0.0,1299.9839441779661
0.0,1299.9839424783506
0.0,1299.9839407783757
83.72093023588359,1116.0124227090114
622.7176629233486,677.2823370766514
806.5731308236544,493.4268691763456
949.7981933007911,350.2018066992089
1000.0,300.0
959.2927157684521,340.7072842315479
961.2915625222173,338.7084374777827
926.9652123555337,373.03346497770536
771.977705185132,528.0196444625628
495.59869304638704,804.3951552765631
0.0,1098.7018744795157
0.0,1299.9839295495467
0.0,1299.983927846833
0.0,1299.983926143758
0.0,1299.9839244403222
0.0,1299.9839227365253
0.0,1299.9839211923922
0.0,1299.9839194879044
0.0,1299.9839177830556
0.0,1299.9839160778456
0.0,1299.9839143722731
0.0,1299.9839126663396
0.0,1299.9839109600437
0.0,1299.983909253386
83.72093023588359,1116.0546746285272
622.7176629233486,677.2823370766514
806.5731308236544,493.4268691763456
949.7981933007911,350.2018066992089
1000.0,300.0
959.2927157684521,340.7072842315479
961.2915625222173,338.7084374777827
926.9652123555337,367.81777889498744
771.977705185132,528.0196392969303
495.59869304638704,804.3951432342924
0.0,1098.634132772178
0.0,1299.9838979868277
0.0,1299.983896277417
0.0,1299.983894567643
0.0,1299.9838928575055
0.0,1299.983891147005
0.0,1299.9838888972693
0.0,1299.9838871859342
0.0,1299.9838854742352
0.0,1299.983883762173
0.0,1299.9838820497469
0.0,1299.9838803369564
0.0,1299.9838786238024
0.0,1299.9838769102844
83.72093023588359,1216.2649550656404
622.7176629233486,677.2823370766514
806.5731308236544,493.4268691763456
949.7981933007911,350.2018066992089
1000.0,300.0
959.2927157684521,340.7072842315479
961.2915625222173,338.7084374777827
926.9652123555337,373.0334595829076
771.977705185132,528.0196337161777
495.59869304638704,804.3951304550097
0.0,1098.5648467982169
0.0,1299.9838649294984
0.0,1299.9838632130677
0.0,1299.983861496272
0.0,1299.9838597791102
0.0,1299.9838580615833
0.0,1299.9838564381846
0.0,1116.1243053868886
0.0,932.270311975743
0.0,748.4209079886044
0.0,564.5751249482983
0.0,858.7148718160003
0.0,1152.8465498437731
0.0,1299.983847614611
83.72093023588359,1216.264929422239
622.7176629233486,677.2823370766514
806.5731308236544,493.4268691763456
949.7981933007911,350.2018066992089
1000.0,300.0
959.2927157684521,340.7072842315479
961.2915625222173,338.7084374777827
926.9652123555337,373.03345718794174
771.977705185132,528.0196289011676
495.59869304638704,804.3951192480465
0.0,1098.5022681282985
0.0,1299.9838355900463
0.0,1299.9838338673662
0.0,1299.9838321443185
0.0,1299.9838304209038
0.0,1299.9838286971217
0.0,1116.1610869566198
0.0,932.3439115788791
0.0,748.5313330735273
0.0,564.7223816883386
0.0,380.9160874652304
0.0,674.9985026402956
0.0,969.074388695668
0.0,1263.1412607084076
83.72093023588359,1216.264905038998
622.7176629233486,677.2823370766514
806.5731308236544,493.4268691763456
949.7981933007911,350.2018066992089
1000.0,300.0
959.2927157684521,340.7072842315479
961.2915625222173,338.7084374777827
926.9652123555337,373.03345487249277
771.977705185132,528.0196242786596
495.59869304638704,804.395108551561
0.0,1098.4433168042008
0.0,1299.9838077054535
0.0,1299.9838059768254
0.0,1299.9838042478282
0.0,1299.9838025184622
0.0,1299.983800788727
0.0,1116.1978842504816
0.0,932.4175427861396
0.0,748.6418056286113
0.0,564.869701748132
0.0,381.1002599084153
0.0,675.1236940303959
0.0,969.1405882216818
0.0,1263.1484542807734
83.72093023588359,1216.2648806719346
622.7176629233486,677.2823370766514
806.5731308236544,493.4268691763456
949.7981933007911,350.2018066992089
1000.0,300.0
959.2927157684521,340.7072842315479
961.2915625222173,338.7084374777827
926.9652123555337,367.50566015769226
771.977705185132,528.0196196852318
495.59869304638704,367.50250239679923
0.0,661.5003052726128
0.0,955.4916792828066
0.0,1249.4741348200603
0.0,1299.9837780631485
0.0,1299.9837763281857
0.0,1299.9837745928512
0.0,1116.2324940786907
0.0,932.4867967422683
0.0,748.7457106138937
0.0,565.0082634604313
0.0,381.27348284160536
0.0,675.2414432030818
0.0,969.202853613138
0.0,1263.1552227821614
83.72093023588359,1079.4164485801225
622.7176629233486,677.2823370766514
806.5731308236544,493.4268691763456
949.7981933007911,350.2018066992089
1000.0,300.0
959.2927157684521,340.7072842315479
961.2915625222173,338.7084374777827
926.9652123555337,367.4386222112598
771.977705185132,528.0196156504497
495.59869304638704,804.39508840187
0.0,1098.3306273993958
0.0,1299.9837548261346
0.0,1299.983753086193
0.0,1299.9837513458779
0.0,1299.9837496051905
0.0,1116.2659318482406
0.0,932.5537052660611
0.0,748.8460966509936
0.0,565.1421326056658
0.0,381.44083952496055
0.0,367.3971416279874
0.0,367.39584342075926
0.0,661.308311327215
0.0,955.2143382967442
83.72093023588359,771.5135465493706
622.7176629233486,587.8165206427708
806.5731308236544,404.12228673901006
949.7981933007911,350.2018066992089
1000.0,300.0
959.2927157684521,340.7072842315479
961.2915625222173,338.7084374777827
926.9652123555337,367.3774041601437
771.977705185132,528.0196118521388
495.59869304638704,804.3950795611447
0.0,1098.2816239281824
0.0,1299.9837316811197
0.0,1299.9837299362152
0.0,1299.983728190936
0.0,1299.9837264452833
0.0,1116.2965168389867
0.0,932.6149056713494
0.0,748.9379186580732
0.0,565.2645813354623
0.0,381.59391903151896
0.0,367.33587025209533
0.0,367.33457064567784
0.0,661.1980157630289
0.0,477.52970364228463
83.72093023588359,367.32924153300144
622.7176629233486,367.32794177249184
806.5731308236544,367.32664198176525
949.7981933007911,350.2018066992089
1000.0,300.0
