2022 LMP,2023 LMP,2022 WC,2023 WC,2022 Inflow,2023 Inflow
49.57656106182796,135.33902482526884,7.88841297e8,5.084765846292e8,92241.80305684314,145233.44724414378
42.639930729166686,67.6885467410714,7.28277182304e8,6.087246496032e8,80379.88152115945,115391.71143952278
41.34867538306451,65.19805016801072,1.245485707536e9,9.296638848120002e8,112036.05445456052,189138.43532280962
55.72624502777777,50.904084416666656,1.267018444548e9,1.024821932892e9,167958.06432090935,377823.41398021625
57.78695676075268,18.152979637096777,1.3358869633439999e9,1.0545035321760001e9,415300.1374189121,1.2451187890427748e6
67.87078579166665,27.46808929166668,1.0962584336999998e9,1.092736971648e9,410405.90571575006,999153.1378763315
74.53232415322582,71.38784224462364,1.0143411766800001e9,9.372871612559999e8,158484.05999572302,316313.61824825837
101.83541333333332,74.10079362903224,7.072153879559999e8,7.154906325888e8,152146.9118295648,155700.01771081935
116.87289558333335,38.81962194444444,6.647107772880001e8,6.073603960536001e8,143773.1758153928,141818.23849287632
61.935146612903246,55.98993061827955,5.156705853636e8,6.003938490311999e8,183159.20967598812,148098.03009262116
81.62210226388888,52.818393861111126,8.79302129892e8,6.56988945792e8,134959.57245421977,143336.1153111618
250.57033229838717,45.51995712365591,5.405571668304e8,4.4671452649200004e8,122589.24526260707,143311.46241964772
