2022 LMP,2023 LMP,2022 WC,2023 WC,2022 Inflow,2023 Inflow
49.57656106182796,135.33902482526884,7.88841297e8,5.084765846292e8,3.3207049100463414e8,5.228404100789161e8
42.639930729166686,67.6885467410714,7.28277182304e8,6.087246496032e8,2.893675734761746e8,4.154101611822852e8
41.34867538306451,65.19805016801072,1.245485707536e9,9.296638848120002e8,4.0332979603641796e8,6.808983671621166e8
55.72624502777777,50.904084416666656,1.267018444548e9,1.024821932892e9,6.046490315552702e8,1.3601642903287816e9
57.78695676075268,18.152979637096777,1.3358869633439999e9,1.0545035321760001e9,1.4950804947080867e9,4.482427640553991e9
67.87078579166665,27.46808929166668,1.0962584336999998e9,1.092736971648e9,1.4774612605767016e9,3.596951296354811e9
74.53232415322582,71.38784224462364,1.0143411766800001e9,9.372871612559999e8,5.705426159846056e8,1.138729025693726e9
101.83541333333332,74.10079362903224,7.072153879559999e8,7.154906325888e8,5.47728882586437e8,5.60520063758948e8
116.87289558333335,38.81962194444444,6.647107772880001e8,6.073603960536001e8,5.1758343293541664e8,5.1054565857435656e8
61.935146612903246,55.98993061827955,5.156705853636e8,6.003938490311999e8,6.593731548335617e8,5.331529083334313e8
81.62210226388888,52.818393861111126,8.79302129892e8,6.56988945792e8,4.858544608351941e8,5.160100151201799e8
250.57033229838717,45.51995712365591,5.405571668304e8,4.4671452649200004e8,4.4132128294538665e8,5.159212647107338e8
