INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2022-01-01T12:00:00-00:00,2022-01-01T13:00:00-00:00,1/1/2022,5,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,59.34718,1
2022-01-02T06:00:00-00:00,2022-01-02T07:00:00-00:00,1/1/2022,23,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,73.8772,1
2022-01-01T21:00:00-00:00,2022-01-01T22:00:00-00:00,1/1/2022,14,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,27.6006,1
2022-01-01T22:00:00-00:00,2022-01-01T23:00:00-00:00,1/1/2022,15,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,30.66906,1
2022-01-02T03:00:00-00:00,2022-01-02T04:00:00-00:00,1/1/2022,20,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,85.4055,1
2022-01-01T15:00:00-00:00,2022-01-01T16:00:00-00:00,1/1/2022,8,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,73.41756,1
2022-01-02T01:00:00-00:00,2022-01-02T02:00:00-00:00,1/1/2022,18,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,88.95442,1
2022-01-01T18:00:00-00:00,2022-01-01T19:00:00-00:00,1/1/2022,11,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,32.7693,1
2022-01-01T11:00:00-00:00,2022-01-01T12:00:00-00:00,1/1/2022,4,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,57.37142,1
2022-01-02T05:00:00-00:00,2022-01-02T06:00:00-00:00,1/1/2022,22,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,77.15872,1
2022-01-02T07:00:00-00:00,2022-01-02T08:00:00-00:00,1/1/2022,24,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,64.09019,1
2022-01-01T10:00:00-00:00,2022-01-01T11:00:00-00:00,1/1/2022,3,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,56.5536,1
2022-01-01T17:00:00-00:00,2022-01-01T18:00:00-00:00,1/1/2022,10,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,37.7742,1
2022-01-01T19:00:00-00:00,2022-01-01T20:00:00-00:00,1/1/2022,12,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,26.23261,1
2022-01-01T20:00:00-00:00,2022-01-01T21:00:00-00:00,1/1/2022,13,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,25.52454,1
2022-01-01T23:00:00-00:00,2022-01-02T00:00:00-00:00,1/1/2022,16,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,52.85287,1
2022-01-02T00:00:00-00:00,2022-01-02T01:00:00-00:00,1/1/2022,17,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,79.7325,1
2022-01-02T04:00:00-00:00,2022-01-02T05:00:00-00:00,1/1/2022,21,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,80.29306,1
2022-01-01T08:00:00-00:00,2022-01-01T09:00:00-00:00,1/1/2022,1,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,57.11475,1
