INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2023-03-02T05:00:00-00:00,2023-03-02T06:00:00-00:00,2023-03-01,22,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,94.31453,1
2023-03-01T18:00:00-00:00,2023-03-01T19:00:00-00:00,2023-03-01,11,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,50.78437,1
2023-03-01T08:00:00-00:00,2023-03-01T09:00:00-00:00,2023-03-01,1,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,91.37798,1
2023-03-01T10:00:00-00:00,2023-03-01T11:00:00-00:00,2023-03-01,3,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,86.92848,1
2023-03-01T15:00:00-00:00,2023-03-01T16:00:00-00:00,2023-03-01,8,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,92.48037,1
2023-03-02T00:00:00-00:00,2023-03-02T01:00:00-00:00,2023-03-01,17,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,71.30197,1
2023-03-02T03:00:00-00:00,2023-03-02T04:00:00-00:00,2023-03-01,20,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,106.78358,1
2023-03-01T09:00:00-00:00,2023-03-01T10:00:00-00:00,2023-03-01,2,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,87.46198,1
2023-03-02T06:00:00-00:00,2023-03-02T07:00:00-00:00,2023-03-01,23,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,90.65752,1
2023-03-01T11:00:00-00:00,2023-03-01T12:00:00-00:00,2023-03-01,4,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,87.45787,1
2023-03-01T13:00:00-00:00,2023-03-01T14:00:00-00:00,2023-03-01,6,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,101.52247,1
2023-03-01T16:00:00-00:00,2023-03-01T17:00:00-00:00,2023-03-01,9,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,68.55938,1
2023-03-02T01:00:00-00:00,2023-03-02T02:00:00-00:00,2023-03-01,18,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,101.96095,1
2023-03-01T19:00:00-00:00,2023-03-01T20:00:00-00:00,2023-03-01,12,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,45.07531,1
2023-03-01T20:00:00-00:00,2023-03-01T21:00:00-00:00,2023-03-01,13,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,41.47308,1
2023-03-01T21:00:00-00:00,2023-03-01T22:00:00-00:00,2023-03-01,14,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,39.37126,1
2023-03-02T04:00:00-00:00,2023-03-02T05:00:00-00:00,2023-03-01,21,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,103.24931,1
2023-03-02T07:00:00-00:00,2023-03-02T08:00:00-00:00,2023-03-01,24,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,79.69861,1
2023-03-01T17:00:00-00:00,2023-03-01T18:00:00-00:00,2023-03-01,10,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,55.93523,1
2023-03-01T22:00:00-00:00,2023-03-01T23:00:00-00:00,2023-03-01,15,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,38.56313,1
2023-03-01T23:00:00-00:00,2023-03-02T00:00:00-00:00,2023-03-01,16,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,51.91337,1
