INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2023-06-01T14:00:00-00:00,2023-06-01T15:00:00-00:00,2023-06-01,8,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,21.42572,1
2023-06-01T09:00:00-00:00,2023-06-01T10:00:00-00:00,2023-06-01,3,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,25.91496,1
2023-06-02T03:00:00-00:00,2023-06-02T04:00:00-00:00,2023-06-01,21,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,51.04211,1
2023-06-01T22:00:00-00:00,2023-06-01T23:00:00-00:00,2023-06-01,16,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,7.8461,1
2023-06-02T00:00:00-00:00,2023-06-02T01:00:00-00:00,2023-06-01,18,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,22.44731,1
2023-06-02T01:00:00-00:00,2023-06-02T02:00:00-00:00,2023-06-01,19,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,36.27494,1
2023-06-01T08:00:00-00:00,2023-06-01T09:00:00-00:00,2023-06-01,2,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,27.89171,1
2023-06-01T07:00:00-00:00,2023-06-01T08:00:00-00:00,2023-06-01,1,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,29.05996,1
2023-06-01T13:00:00-00:00,2023-06-01T14:00:00-00:00,2023-06-01,7,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,35.80797,1
2023-06-01T23:00:00-00:00,2023-06-02T00:00:00-00:00,2023-06-01,17,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,10.77273,1
2023-06-02T04:00:00-00:00,2023-06-02T05:00:00-00:00,2023-06-01,22,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,42.43109,1
2023-06-02T06:00:00-00:00,2023-06-02T07:00:00-00:00,2023-06-01,24,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,31.07331,1
2023-06-01T18:00:00-00:00,2023-06-01T19:00:00-00:00,2023-06-01,12,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,7.43914,1
2023-06-01T21:00:00-00:00,2023-06-01T22:00:00-00:00,2023-06-01,15,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,7.97489,1
2023-06-01T10:00:00-00:00,2023-06-01T11:00:00-00:00,2023-06-01,4,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,26.24134,1
2023-06-02T05:00:00-00:00,2023-06-02T06:00:00-00:00,2023-06-01,23,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,35.41585,1
2023-06-01T20:00:00-00:00,2023-06-01T21:00:00-00:00,2023-06-01,14,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,7.75068,1
2023-06-01T11:00:00-00:00,2023-06-01T12:00:00-00:00,2023-06-01,5,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,30.15742,1
2023-06-01T12:00:00-00:00,2023-06-01T13:00:00-00:00,2023-06-01,6,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,36.57206,1
2023-06-01T17:00:00-00:00,2023-06-01T18:00:00-00:00,2023-06-01,11,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,7.73163,1
2023-06-01T19:00:00-00:00,2023-06-01T20:00:00-00:00,2023-06-01,13,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,7.38944,1
2023-06-02T02:00:00-00:00,2023-06-02T03:00:00-00:00,2023-06-01,20,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,48.20967,1
2023-06-01T16:00:00-00:00,2023-06-01T17:00:00-00:00,2023-06-01,10,0,MEADS_2_N101,MEADS_2_N101,MEADS_2_N101,DAM,LMP,LMP_PRC,MEADS_2_N101,ALL,1,7.84941,1
