Location,Result,Units,Datetime
Lake Mead Hoover Dam and Powerplant,34978,af,04/09/21
Lake Mead Hoover Dam and Powerplant,31824.9,af,04/10/21
Lake Mead Hoover Dam and Powerplant,24697.2,af,04/11/21
Lake Mead Hoover Dam and Powerplant,33943.7,af,04/12/21
Lake Mead Hoover Dam and Powerplant,31788.9,af,04/13/21
Lake Mead Hoover Dam and Powerplant,38815,af,04/14/21
Lake Mead Hoover Dam and Powerplant,37312.1,af,04/15/21
Lake Mead Hoover Dam and Powerplant,33523,af,04/16/21
Lake Mead Hoover Dam and Powerplant,30215,af,04/17/21
Lake Mead Hoover Dam and Powerplant,27184,af,04/18/21
Lake Mead Hoover Dam and Powerplant,31904.1,af,04/19/21
Lake Mead Hoover Dam and Powerplant,41342.1,af,04/20/21
Lake Mead Hoover Dam and Powerplant,42058,af,04/21/21
Lake Mead Hoover Dam and Powerplant,38724,af,04/22/21
Lake Mead Hoover Dam and Powerplant,38295.9,af,04/23/21
Lake Mead Hoover Dam and Powerplant,40612.1,af,04/24/21
Lake Mead Hoover Dam and Powerplant,36823.9,af,04/25/21
Lake Mead Hoover Dam and Powerplant,37419,af,04/26/21
Lake Mead Hoover Dam and Powerplant,35175.1,af,04/27/21
Lake Mead Hoover Dam and Powerplant,38337.9,af,04/28/21
Lake Mead Hoover Dam and Powerplant,43651,af,04/29/21
Lake Mead Hoover Dam and Powerplant,44727.9,af,04/30/21
Lake Mead Hoover Dam and Powerplant,36343.1,af,05/01/21
Lake Mead Hoover Dam and Powerplant,32318.8,af,05/02/21
Lake Mead Hoover Dam and Powerplant,39178.2,af,05/03/21
Lake Mead Hoover Dam and Powerplant,42810.9,af,05/04/21
Lake Mead Hoover Dam and Powerplant,38814,af,05/05/21
Lake Mead Hoover Dam and Powerplant,41235,af,05/06/21
Lake Mead Hoover Dam and Powerplant,40873,af,05/07/21
Lake Mead Hoover Dam and Powerplant,35865.9,af,05/08/21
Lake Mead Hoover Dam and Powerplant,28268.9,af,05/09/21
Lake Mead Hoover Dam and Powerplant,27969.4,af,05/10/21
Lake Mead Hoover Dam and Powerplant,25111.9,af,05/11/21
Lake Mead Hoover Dam and Powerplant,30721.2,af,05/12/21
Lake Mead Hoover Dam and Powerplant,32291,af,05/13/21
Lake Mead Hoover Dam and Powerplant,36562,af,05/14/21
Lake Mead Hoover Dam and Powerplant,30721.9,af,05/15/21
Lake Mead Hoover Dam and Powerplant,26670.9,af,05/16/21
Lake Mead Hoover Dam and Powerplant,28946,af,05/17/21
Lake Mead Hoover Dam and Powerplant,32657.9,af,05/18/21
Lake Mead Hoover Dam and Powerplant,38177.9,af,05/19/21
Lake Mead Hoover Dam and Powerplant,33946,af,05/20/21
Lake Mead Hoover Dam and Powerplant,34662.8,af,05/21/21
Lake Mead Hoover Dam and Powerplant,30609.2,af,05/22/21
Lake Mead Hoover Dam and Powerplant,25757.9,af,05/23/21
Lake Mead Hoover Dam and Powerplant,40931.2,af,05/24/21
Lake Mead Hoover Dam and Powerplant,39025.9,af,05/25/21
Lake Mead Hoover Dam and Powerplant,36775.9,af,05/26/21
Lake Mead Hoover Dam and Powerplant,42724.1,af,05/27/21
Lake Mead Hoover Dam and Powerplant,37412,af,05/28/21
Lake Mead Hoover Dam and Powerplant,34510.1,af,05/29/21
Lake Mead Hoover Dam and Powerplant,31752.1,af,05/30/21
Lake Mead Hoover Dam and Powerplant,33632,af,05/31/21
Lake Mead Hoover Dam and Powerplant,39454,af,06/01/21
Lake Mead Hoover Dam and Powerplant,41233.1,af,06/02/21
Lake Mead Hoover Dam and Powerplant,41220.9,af,06/03/21
Lake Mead Hoover Dam and Powerplant,27126,af,06/04/21
Lake Mead Hoover Dam and Powerplant,25223,af,06/05/21
Lake Mead Hoover Dam and Powerplant,19862,af,06/06/21
Lake Mead Hoover Dam and Powerplant,28925.9,af,06/07/21
Lake Mead Hoover Dam and Powerplant,25986.8,af,06/08/21
Lake Mead Hoover Dam and Powerplant,21193.1,af,06/09/21
Lake Mead Hoover Dam and Powerplant,26246,af,06/10/21
Lake Mead Hoover Dam and Powerplant,34088,af,06/11/21
Lake Mead Hoover Dam and Powerplant,28882.1,af,06/12/21
Lake Mead Hoover Dam and Powerplant,30581.8,af,06/13/21
Lake Mead Hoover Dam and Powerplant,33306,af,06/14/21
