Location,Result,Units,Datetime
Lake Mead Hoover Dam and Powerplant,35010.9,af,03/09/22
Lake Mead Hoover Dam and Powerplant,38899.9,af,03/10/22
Lake Mead Hoover Dam and Powerplant,31862.2,af,03/11/22
Lake Mead Hoover Dam and Powerplant,29123.1,af,03/12/22
Lake Mead Hoover Dam and Powerplant,28861,af,03/13/22
Lake Mead Hoover Dam and Powerplant,33788.9,af,03/14/22
Lake Mead Hoover Dam and Powerplant,33085,af,03/15/22
Lake Mead Hoover Dam and Powerplant,29789.9,af,03/16/22
Lake Mead Hoover Dam and Powerplant,37177.9,af,03/17/22
Lake Mead Hoover Dam and Powerplant,32926.1,af,03/18/22
Lake Mead Hoover Dam and Powerplant,31821.1,af,03/19/22
Lake Mead Hoover Dam and Powerplant,27402.9,af,03/20/22
Lake Mead Hoover Dam and Powerplant,33521,af,03/21/22
Lake Mead Hoover Dam and Powerplant,33198.1,af,03/22/22
Lake Mead Hoover Dam and Powerplant,35655,af,03/23/22
Lake Mead Hoover Dam and Powerplant,42112.1,af,03/24/22
Lake Mead Hoover Dam and Powerplant,38669.1,af,03/25/22
Lake Mead Hoover Dam and Powerplant,33077,af,03/26/22
Lake Mead Hoover Dam and Powerplant,33019.9,af,03/27/22
Lake Mead Hoover Dam and Powerplant,35182,af,03/28/22
Lake Mead Hoover Dam and Powerplant,31087.9,af,03/29/22
Lake Mead Hoover Dam and Powerplant,32475,af,03/30/22
Lake Mead Hoover Dam and Powerplant,34105.1,af,03/31/22
Lake Mead Hoover Dam and Powerplant,36256.9,af,04/01/22
Lake Mead Hoover Dam and Powerplant,29756,af,04/02/22
Lake Mead Hoover Dam and Powerplant,31374.8,af,04/03/22
Lake Mead Hoover Dam and Powerplant,34359,af,04/04/22
Lake Mead Hoover Dam and Powerplant,32523.8,af,04/05/22
Lake Mead Hoover Dam and Powerplant,33624.9,af,04/06/22
Lake Mead Hoover Dam and Powerplant,39999.9,af,04/07/22
Lake Mead Hoover Dam and Powerplant,38967.1,af,04/08/22
Lake Mead Hoover Dam and Powerplant,31392.1,af,04/09/22
Lake Mead Hoover Dam and Powerplant,27949.8,af,04/10/22
Lake Mead Hoover Dam and Powerplant,35809,af,04/11/22
Lake Mead Hoover Dam and Powerplant,33495.2,af,04/12/22
Lake Mead Hoover Dam and Powerplant,33233.9,af,04/13/22
Lake Mead Hoover Dam and Powerplant,37671.2,af,04/14/22
Lake Mead Hoover Dam and Powerplant,32603,af,04/15/22
Lake Mead Hoover Dam and Powerplant,28947,af,04/16/22
Lake Mead Hoover Dam and Powerplant,28052.1,af,04/17/22
Lake Mead Hoover Dam and Powerplant,33140.2,af,04/18/22
Lake Mead Hoover Dam and Powerplant,38921,af,04/19/22
Lake Mead Hoover Dam and Powerplant,34741.9,af,04/20/22
Lake Mead Hoover Dam and Powerplant,38491,af,04/21/22
Lake Mead Hoover Dam and Powerplant,34684.1,af,04/22/22
Lake Mead Hoover Dam and Powerplant,27220.1,af,04/23/22
Lake Mead Hoover Dam and Powerplant,32751.2,af,04/24/22
Lake Mead Hoover Dam and Powerplant,33651.6,af,04/25/22
Lake Mead Hoover Dam and Powerplant,39053.2,af,04/26/22
Lake Mead Hoover Dam and Powerplant,21494,af,04/27/22
Lake Mead Hoover Dam and Powerplant,39185.1,af,04/28/22
Lake Mead Hoover Dam and Powerplant,47655.8,af,04/29/22
Lake Mead Hoover Dam and Powerplant,40185.2,af,04/30/22
Lake Mead Hoover Dam and Powerplant,30964,af,05/01/22
Lake Mead Hoover Dam and Powerplant,41216.9,af,05/02/22
Lake Mead Hoover Dam and Powerplant,34436,af,05/03/22
Lake Mead Hoover Dam and Powerplant,33623.9,af,05/04/22
Lake Mead Hoover Dam and Powerplant,37023.9,af,05/05/22
Lake Mead Hoover Dam and Powerplant,37327.1,af,05/06/22
Lake Mead Hoover Dam and Powerplant,30481,af,05/07/22
Lake Mead Hoover Dam and Powerplant,27299.2,af,05/08/22
Lake Mead Hoover Dam and Powerplant,34945.9,af,05/09/22
Lake Mead Hoover Dam and Powerplant,41756.9,af,05/10/22
Lake Mead Hoover Dam and Powerplant,38838,af,05/11/22
Lake Mead Hoover Dam and Powerplant,37076.9,af,05/12/22
Lake Mead Hoover Dam and Powerplant,40976,af,05/13/22
Lake Mead Hoover Dam and Powerplant,40370,af,05/14/22
Lake Mead Hoover Dam and Powerplant,35825,af,05/15/22
Lake Mead Hoover Dam and Powerplant,42905.9,af,05/16/22
Lake Mead Hoover Dam and Powerplant,41431.9,af,05/17/22
Lake Mead Hoover Dam and Powerplant,30155.1,af,05/18/22
Lake Mead Hoover Dam and Powerplant,34914.1,af,05/19/22
Lake Mead Hoover Dam and Powerplant,31143.1,af,05/20/22
Lake Mead Hoover Dam and Powerplant,26031.2,af,05/21/22
Lake Mead Hoover Dam and Powerplant,28182.9,af,05/22/22
Lake Mead Hoover Dam and Powerplant,30463.1,af,05/23/22
Lake Mead Hoover Dam and Powerplant,36370,af,05/24/22
Lake Mead Hoover Dam and Powerplant,38184.7,af,05/25/22
Lake Mead Hoover Dam and Powerplant,39435.9,af,05/26/22
Lake Mead Hoover Dam and Powerplant,35991.1,af,05/27/22
Lake Mead Hoover Dam and Powerplant,29754.1,af,05/28/22
Lake Mead Hoover Dam and Powerplant,26211.2,af,05/29/22
Lake Mead Hoover Dam and Powerplant,30812,af,05/30/22
Lake Mead Hoover Dam and Powerplant,38875.8,af,05/31/22
Lake Mead Hoover Dam and Powerplant,33506.1,af,06/01/22
Lake Mead Hoover Dam and Powerplant,35735,af,06/02/22
Lake Mead Hoover Dam and Powerplant,33723.7,af,06/03/22
Lake Mead Hoover Dam and Powerplant,26079.9,af,06/04/22
Lake Mead Hoover Dam and Powerplant,25621.1,af,06/05/22
Lake Mead Hoover Dam and Powerplant,27339,af,06/06/22
Lake Mead Hoover Dam and Powerplant,30243.1,af,06/07/22
Lake Mead Hoover Dam and Powerplant,33335.9,af,06/08/22
Lake Mead Hoover Dam and Powerplant,33068,af,06/09/22
Lake Mead Hoover Dam and Powerplant,34099.9,af,06/10/22
Lake Mead Hoover Dam and Powerplant,31681.2,af,06/11/22
Lake Mead Hoover Dam and Powerplant,28690.2,af,06/12/22
Lake Mead Hoover Dam and Powerplant,32916.1,af,06/13/22
Lake Mead Hoover Dam and Powerplant,29293,af,06/14/22
Lake Mead Hoover Dam and Powerplant,32713,af,06/15/22
Lake Mead Hoover Dam and Powerplant,37519,af,06/16/22
Lake Mead Hoover Dam and Powerplant,32612.1,af,06/17/22
Lake Mead Hoover Dam and Powerplant,22158.1,af,06/18/22
Lake Mead Hoover Dam and Powerplant,23898,af,06/19/22
Lake Mead Hoover Dam and Powerplant,29923.9,af,06/20/22
Lake Mead Hoover Dam and Powerplant,32426.2,af,06/21/22
Lake Mead Hoover Dam and Powerplant,32286.9,af,06/22/22
Lake Mead Hoover Dam and Powerplant,31238.9,af,06/23/22
Lake Mead Hoover Dam and Powerplant,31354,af,06/24/22
Lake Mead Hoover Dam and Powerplant,26060,af,06/25/22
Lake Mead Hoover Dam and Powerplant,19497.1,af,06/26/22
Lake Mead Hoover Dam and Powerplant,25867,af,06/27/22
Lake Mead Hoover Dam and Powerplant,26076,af,06/28/22
Lake Mead Hoover Dam and Powerplant,25652.9,af,06/29/22
Lake Mead Hoover Dam and Powerplant,24137.2,af,06/30/22
Lake Mead Hoover Dam and Powerplant,28296.9,af,07/01/22
Lake Mead Hoover Dam and Powerplant,24753,af,07/02/22
Lake Mead Hoover Dam and Powerplant,23566.9,af,07/03/22
Lake Mead Hoover Dam and Powerplant,22254,af,07/04/22
Lake Mead Hoover Dam and Powerplant,25593.1,af,07/05/22
Lake Mead Hoover Dam and Powerplant,24040.8,af,07/06/22
Lake Mead Hoover Dam and Powerplant,32620,af,07/07/22
Lake Mead Hoover Dam and Powerplant,34445,af,07/08/22
Lake Mead Hoover Dam and Powerplant,29458.8,af,07/09/22
Lake Mead Hoover Dam and Powerplant,26806,af,07/10/22
Lake Mead Hoover Dam and Powerplant,29556,af,07/11/22
Lake Mead Hoover Dam and Powerplant,27125,af,07/12/22
Lake Mead Hoover Dam and Powerplant,28733.8,af,07/13/22
Lake Mead Hoover Dam and Powerplant,30154.9,af,07/14/22
Lake Mead Hoover Dam and Powerplant,30920.9,af,07/15/22
Lake Mead Hoover Dam and Powerplant,26904,af,07/16/22
Lake Mead Hoover Dam and Powerplant,27336.3,af,07/17/22
Lake Mead Hoover Dam and Powerplant,31369,af,07/18/22
Lake Mead Hoover Dam and Powerplant,27652,af,07/19/22
Lake Mead Hoover Dam and Powerplant,27852,af,07/20/22
Lake Mead Hoover Dam and Powerplant,29629.9,af,07/21/22
Lake Mead Hoover Dam and Powerplant,27138.9,af,07/22/22
Lake Mead Hoover Dam and Powerplant,20958.8,af,07/23/22
Lake Mead Hoover Dam and Powerplant,23746.9,af,07/24/22
Lake Mead Hoover Dam and Powerplant,23256,af,07/25/22
Lake Mead Hoover Dam and Powerplant,24779.9,af,07/26/22
Lake Mead Hoover Dam and Powerplant,23075,af,07/27/22
Lake Mead Hoover Dam and Powerplant,22525.1,af,07/28/22
Lake Mead Hoover Dam and Powerplant,24266,af,07/29/22
Lake Mead Hoover Dam and Powerplant,21366,af,07/30/22
Lake Mead Hoover Dam and Powerplant,22160.1,af,07/31/22
Lake Mead Hoover Dam and Powerplant,28040,af,08/01/22
Lake Mead Hoover Dam and Powerplant,33623.6,af,08/02/22
Lake Mead Hoover Dam and Powerplant,25146.8,af,08/03/22
Lake Mead Hoover Dam and Powerplant,15328.8,af,08/04/22
Lake Mead Hoover Dam and Powerplant,14864,af,08/05/22
Lake Mead Hoover Dam and Powerplant,15633,af,08/06/22
Lake Mead Hoover Dam and Powerplant,17499.8,af,08/07/22
Lake Mead Hoover Dam and Powerplant,21412,af,08/08/22
Lake Mead Hoover Dam and Powerplant,19655,af,08/09/22
Lake Mead Hoover Dam and Powerplant,19804,af,08/10/22
Lake Mead Hoover Dam and Powerplant,21132.1,af,08/11/22
Lake Mead Hoover Dam and Powerplant,15955,af,08/12/22
Lake Mead Hoover Dam and Powerplant,12383.2,af,08/13/22
Lake Mead Hoover Dam and Powerplant,12552.9,af,08/14/22
Lake Mead Hoover Dam and Powerplant,20353.1,af,08/15/22
Lake Mead Hoover Dam and Powerplant,18878,af,08/16/22
Lake Mead Hoover Dam and Powerplant,19475,af,08/17/22
Lake Mead Hoover Dam and Powerplant,19414,af,08/18/22
Lake Mead Hoover Dam and Powerplant,15352.8,af,08/19/22
Lake Mead Hoover Dam and Powerplant,11730.8,af,08/20/22
Lake Mead Hoover Dam and Powerplant,13539,af,08/21/22
Lake Mead Hoover Dam and Powerplant,18940.2,af,08/22/22
Lake Mead Hoover Dam and Powerplant,20447,af,08/23/22
Lake Mead Hoover Dam and Powerplant,25084.9,af,08/24/22
Lake Mead Hoover Dam and Powerplant,23249.1,af,08/25/22
Lake Mead Hoover Dam and Powerplant,17918.2,af,08/26/22
Lake Mead Hoover Dam and Powerplant,12537.2,af,08/27/22
Lake Mead Hoover Dam and Powerplant,10678.1,af,08/28/22
Lake Mead Hoover Dam and Powerplant,15661.1,af,08/29/22
Lake Mead Hoover Dam and Powerplant,15787,af,08/30/22
Lake Mead Hoover Dam and Powerplant,21274,af,08/31/22
Lake Mead Hoover Dam and Powerplant,22710.9,af,09/01/22
Lake Mead Hoover Dam and Powerplant,20519.9,af,09/02/22
Lake Mead Hoover Dam and Powerplant,24307.9,af,09/03/22
Lake Mead Hoover Dam and Powerplant,25791,af,09/04/22
Lake Mead Hoover Dam and Powerplant,21895.1,af,09/05/22
Lake Mead Hoover Dam and Powerplant,24492,af,09/06/22
Lake Mead Hoover Dam and Powerplant,21656,af,09/07/22
Lake Mead Hoover Dam and Powerplant,25167.2,af,09/08/22
Lake Mead Hoover Dam and Powerplant,27864.2,af,09/09/22
Lake Mead Hoover Dam and Powerplant,18971,af,09/10/22
Lake Mead Hoover Dam and Powerplant,14919,af,09/11/22
Lake Mead Hoover Dam and Powerplant,18194,af,09/12/22
Lake Mead Hoover Dam and Powerplant,15571.1,af,09/13/22
Lake Mead Hoover Dam and Powerplant,14574.9,af,09/14/22
Lake Mead Hoover Dam and Powerplant,15568,af,09/15/22
Lake Mead Hoover Dam and Powerplant,15060.2,af,09/16/22
Lake Mead Hoover Dam and Powerplant,13493.1,af,09/17/22
Lake Mead Hoover Dam and Powerplant,14696,af,09/18/22
Lake Mead Hoover Dam and Powerplant,15674.1,af,09/19/22
Lake Mead Hoover Dam and Powerplant,14791.1,af,09/20/22
Lake Mead Hoover Dam and Powerplant,13193.1,af,09/21/22
Lake Mead Hoover Dam and Powerplant,12158.8,af,09/22/22
Lake Mead Hoover Dam and Powerplant,14644.9,af,09/23/22
Lake Mead Hoover Dam and Powerplant,10769.2,af,09/24/22
Lake Mead Hoover Dam and Powerplant,13868,af,09/25/22
Lake Mead Hoover Dam and Powerplant,15737,af,09/26/22
Lake Mead Hoover Dam and Powerplant,17638.1,af,09/27/22
Lake Mead Hoover Dam and Powerplant,21063.9,af,09/28/22
Lake Mead Hoover Dam and Powerplant,18556.9,af,09/29/22
Lake Mead Hoover Dam and Powerplant,15344,af,09/30/22
Lake Mead Hoover Dam and Powerplant,16214.2,af,10/01/22
Lake Mead Hoover Dam and Powerplant,13855.8,af,10/02/22
Lake Mead Hoover Dam and Powerplant,13675,af,10/03/22
Lake Mead Hoover Dam and Powerplant,13321.1,af,10/04/22
Lake Mead Hoover Dam and Powerplant,14219.9,af,10/05/22
Lake Mead Hoover Dam and Powerplant,13107.1,af,10/06/22
Lake Mead Hoover Dam and Powerplant,12943.1,af,10/07/22
Lake Mead Hoover Dam and Powerplant,13361.2,af,10/08/22
Lake Mead Hoover Dam and Powerplant,10856.9,af,10/09/22
Lake Mead Hoover Dam and Powerplant,17964,af,10/10/22
Lake Mead Hoover Dam and Powerplant,19021.9,af,10/11/22
Lake Mead Hoover Dam and Powerplant,20054,af,10/12/22
Lake Mead Hoover Dam and Powerplant,19336.9,af,10/13/22
Lake Mead Hoover Dam and Powerplant,19720.1,af,10/14/22
Lake Mead Hoover Dam and Powerplant,17406.7,af,10/15/22
Lake Mead Hoover Dam and Powerplant,16882,af,10/16/22
Lake Mead Hoover Dam and Powerplant,10064.2,af,10/17/22
Lake Mead Hoover Dam and Powerplant,7347.02,af,10/18/22
Lake Mead Hoover Dam and Powerplant,5576.94,af,10/19/22
Lake Mead Hoover Dam and Powerplant,5890,af,10/20/22
Lake Mead Hoover Dam and Powerplant,4944.21,af,10/21/22
Lake Mead Hoover Dam and Powerplant,4595.95,af,10/22/22
Lake Mead Hoover Dam and Powerplant,4764.05,af,10/23/22
Lake Mead Hoover Dam and Powerplant,14279.1,af,10/24/22
Lake Mead Hoover Dam and Powerplant,14871,af,10/25/22
Lake Mead Hoover Dam and Powerplant,14775.9,af,10/26/22
Lake Mead Hoover Dam and Powerplant,17385,af,10/27/22
Lake Mead Hoover Dam and Powerplant,15989.2,af,10/28/22
Lake Mead Hoover Dam and Powerplant,14588.1,af,10/29/22
Lake Mead Hoover Dam and Powerplant,15074.9,af,10/30/22
Lake Mead Hoover Dam and Powerplant,15976.1,af,10/31/22
Lake Mead Hoover Dam and Powerplant,27684.9,af,11/01/22
Lake Mead Hoover Dam and Powerplant,29624,af,11/02/22
Lake Mead Hoover Dam and Powerplant,26859.1,af,11/03/22
Lake Mead Hoover Dam and Powerplant,26585.9,af,11/04/22
Lake Mead Hoover Dam and Powerplant,26373.8,af,11/05/22
Lake Mead Hoover Dam and Powerplant,25020.1,af,11/06/22
Lake Mead Hoover Dam and Powerplant,28340.2,af,11/07/22
Lake Mead Hoover Dam and Powerplant,27657,af,11/08/22
Lake Mead Hoover Dam and Powerplant,28273.1,af,11/09/22
Lake Mead Hoover Dam and Powerplant,27307.1,af,11/10/22
Lake Mead Hoover Dam and Powerplant,25966,af,11/11/22
Lake Mead Hoover Dam and Powerplant,21822.9,af,11/12/22
Lake Mead Hoover Dam and Powerplant,20526.9,af,11/13/22
Lake Mead Hoover Dam and Powerplant,20045.1,af,11/14/22
Lake Mead Hoover Dam and Powerplant,20366,af,11/15/22
Lake Mead Hoover Dam and Powerplant,21958.8,af,11/16/22
Lake Mead Hoover Dam and Powerplant,22826.1,af,11/17/22
Lake Mead Hoover Dam and Powerplant,25908.1,af,11/18/22
Lake Mead Hoover Dam and Powerplant,22292,af,11/19/22
Lake Mead Hoover Dam and Powerplant,19630.1,af,11/20/22
Lake Mead Hoover Dam and Powerplant,23144.7,af,11/21/22
Lake Mead Hoover Dam and Powerplant,21553.1,af,11/22/22
Lake Mead Hoover Dam and Powerplant,22367,af,11/23/22
Lake Mead Hoover Dam and Powerplant,22080.9,af,11/24/22
Lake Mead Hoover Dam and Powerplant,21028,af,11/25/22
Lake Mead Hoover Dam and Powerplant,19521,af,11/26/22
Lake Mead Hoover Dam and Powerplant,20684.2,af,11/27/22
Lake Mead Hoover Dam and Powerplant,22092.9,af,11/28/22
Lake Mead Hoover Dam and Powerplant,22838.8,af,11/29/22
Lake Mead Hoover Dam and Powerplant,22485.1,af,11/30/22
Lake Mead Hoover Dam and Powerplant,20507.1,af,12/01/22
Lake Mead Hoover Dam and Powerplant,17033,af,12/02/22
Lake Mead Hoover Dam and Powerplant,12766,af,12/03/22
Lake Mead Hoover Dam and Powerplant,10485.1,af,12/04/22
Lake Mead Hoover Dam and Powerplant,14391.1,af,12/05/22
Lake Mead Hoover Dam and Powerplant,14475,af,12/06/22
Lake Mead Hoover Dam and Powerplant,16516.9,af,12/07/22
Lake Mead Hoover Dam and Powerplant,17035.9,af,12/08/22
Lake Mead Hoover Dam and Powerplant,15753.9,af,12/09/22
Lake Mead Hoover Dam and Powerplant,12730.9,af,12/10/22
Lake Mead Hoover Dam and Powerplant,13221,af,12/11/22
Lake Mead Hoover Dam and Powerplant,19713.7,af,12/12/22
Lake Mead Hoover Dam and Powerplant,20011.9,af,12/13/22
Lake Mead Hoover Dam and Powerplant,16176.1,af,12/14/22
Lake Mead Hoover Dam and Powerplant,13721,af,12/15/22
Lake Mead Hoover Dam and Powerplant,9322.07,af,12/16/22
Lake Mead Hoover Dam and Powerplant,9637.11,af,12/17/22
Lake Mead Hoover Dam and Powerplant,11901.1,af,12/18/22
Lake Mead Hoover Dam and Powerplant,13319.3,af,12/19/22
Lake Mead Hoover Dam and Powerplant,13834,af,12/20/22
Lake Mead Hoover Dam and Powerplant,15449,af,12/21/22
Lake Mead Hoover Dam and Powerplant,17125,af,12/22/22
Lake Mead Hoover Dam and Powerplant,11990.2,af,12/23/22
Lake Mead Hoover Dam and Powerplant,12383.1,af,12/24/22
Lake Mead Hoover Dam and Powerplant,13506,af,12/25/22
Lake Mead Hoover Dam and Powerplant,12664,af,12/26/22
Lake Mead Hoover Dam and Powerplant,11576.9,af,12/27/22
Lake Mead Hoover Dam and Powerplant,12273.9,af,12/28/22
Lake Mead Hoover Dam and Powerplant,12635.1,af,12/29/22
Lake Mead Hoover Dam and Powerplant,13690,af,12/30/22
Lake Mead Hoover Dam and Powerplant,12392.1,af,12/31/22
Lake Mead Hoover Dam and Powerplant,17146,af,01/01/23
Lake Mead Hoover Dam and Powerplant,18658.9,af,01/02/23
Lake Mead Hoover Dam and Powerplant,19012.1,af,01/03/23
Lake Mead Hoover Dam and Powerplant,18053,af,01/04/23
Lake Mead Hoover Dam and Powerplant,16065,af,01/05/23
Lake Mead Hoover Dam and Powerplant,14356.2,af,01/06/23
Lake Mead Hoover Dam and Powerplant,13919.8,af,01/07/23
Lake Mead Hoover Dam and Powerplant,16894.2,af,01/08/23
Lake Mead Hoover Dam and Powerplant,17890.9,af,01/09/23
Lake Mead Hoover Dam and Powerplant,14769.1,af,01/10/23
Lake Mead Hoover Dam and Powerplant,11640.2,af,01/11/23
Lake Mead Hoover Dam and Powerplant,12914.3,af,01/12/23
Lake Mead Hoover Dam and Powerplant,13477,af,01/13/23
Lake Mead Hoover Dam and Powerplant,12972,af,01/14/23
Lake Mead Hoover Dam and Powerplant,12953.8,af,01/15/23
Lake Mead Hoover Dam and Powerplant,13968.8,af,01/16/23
Lake Mead Hoover Dam and Powerplant,14608.8,af,01/17/23
Lake Mead Hoover Dam and Powerplant,15758.9,af,01/18/23
Lake Mead Hoover Dam and Powerplant,15585,af,01/19/23
Lake Mead Hoover Dam and Powerplant,15191,af,01/20/23
Lake Mead Hoover Dam and Powerplant,11620.1,af,01/21/23
Lake Mead Hoover Dam and Powerplant,16461.1,af,01/22/23
Lake Mead Hoover Dam and Powerplant,12504,af,01/23/23
Lake Mead Hoover Dam and Powerplant,11855,af,01/24/23
Lake Mead Hoover Dam and Powerplant,8465.04,af,01/25/23
Lake Mead Hoover Dam and Powerplant,6411.9,af,01/26/23
Lake Mead Hoover Dam and Powerplant,6240.08,af,01/27/23
Lake Mead Hoover Dam and Powerplant,6321.16,af,01/28/23
Lake Mead Hoover Dam and Powerplant,10675,af,01/29/23
Lake Mead Hoover Dam and Powerplant,7178.02,af,01/30/23
Lake Mead Hoover Dam and Powerplant,8662.89,af,01/31/23
Lake Mead Hoover Dam and Powerplant,18418.9,af,02/01/23
Lake Mead Hoover Dam and Powerplant,17992.1,af,02/02/23
Lake Mead Hoover Dam and Powerplant,16925,af,02/03/23
Lake Mead Hoover Dam and Powerplant,16645,af,02/04/23
Lake Mead Hoover Dam and Powerplant,22216,af,02/05/23
Lake Mead Hoover Dam and Powerplant,12823,af,02/06/23
Lake Mead Hoover Dam and Powerplant,10850,af,02/07/23
Lake Mead Hoover Dam and Powerplant,11458.1,af,02/08/23
Lake Mead Hoover Dam and Powerplant,14113.9,af,02/09/23
Lake Mead Hoover Dam and Powerplant,12727,af,02/10/23
Lake Mead Hoover Dam and Powerplant,9483.14,af,02/11/23
Lake Mead Hoover Dam and Powerplant,13725.1,af,02/12/23
Lake Mead Hoover Dam and Powerplant,14100.2,af,02/13/23
Lake Mead Hoover Dam and Powerplant,16120.2,af,02/14/23
Lake Mead Hoover Dam and Powerplant,17477.1,af,02/15/23
Lake Mead Hoover Dam and Powerplant,19906,af,02/16/23
Lake Mead Hoover Dam and Powerplant,17981.8,af,02/17/23
Lake Mead Hoover Dam and Powerplant,12894,af,02/18/23
Lake Mead Hoover Dam and Powerplant,16107,af,02/19/23
Lake Mead Hoover Dam and Powerplant,18761.2,af,02/20/23
Lake Mead Hoover Dam and Powerplant,21399.3,af,02/21/23
Lake Mead Hoover Dam and Powerplant,23177.1,af,02/22/23
Lake Mead Hoover Dam and Powerplant,24813.9,af,02/23/23
Lake Mead Hoover Dam and Powerplant,25867.9,af,02/24/23
Lake Mead Hoover Dam and Powerplant,21058.9,af,02/25/23
Lake Mead Hoover Dam and Powerplant,20678.1,af,02/26/23
Lake Mead Hoover Dam and Powerplant,21301.9,af,02/27/23
Lake Mead Hoover Dam and Powerplant,24480,af,02/28/23
Lake Mead Hoover Dam and Powerplant,23692.8,af,03/01/23
Lake Mead Hoover Dam and Powerplant,24335,af,03/02/23
Lake Mead Hoover Dam and Powerplant,20418,af,03/03/23
Lake Mead Hoover Dam and Powerplant,17501.8,af,03/04/23
Lake Mead Hoover Dam and Powerplant,16051.7,af,03/05/23
Lake Mead Hoover Dam and Powerplant,30140,af,03/06/23
Lake Mead Hoover Dam and Powerplant,24804.8,af,03/07/23
Lake Mead Hoover Dam and Powerplant,23098.2,af,03/08/23
Lake Mead Hoover Dam and Powerplant,27274.9,af,03/09/23
Lake Mead Hoover Dam and Powerplant,27214.7,af,03/10/23
Lake Mead Hoover Dam and Powerplant,23523.1,af,03/11/23
Lake Mead Hoover Dam and Powerplant,24242,af,03/12/23
Lake Mead Hoover Dam and Powerplant,25689,af,03/13/23
Lake Mead Hoover Dam and Powerplant,29601,af,03/14/23
Lake Mead Hoover Dam and Powerplant,25047.8,af,03/15/23
Lake Mead Hoover Dam and Powerplant,26860.1,af,03/16/23
Lake Mead Hoover Dam and Powerplant,27258.9,af,03/17/23
Lake Mead Hoover Dam and Powerplant,22972.1,af,03/18/23
Lake Mead Hoover Dam and Powerplant,29243,af,03/19/23
Lake Mead Hoover Dam and Powerplant,27530,af,03/20/23
Lake Mead Hoover Dam and Powerplant,26481.9,af,03/21/23
Lake Mead Hoover Dam and Powerplant,23852.1,af,03/22/23
Lake Mead Hoover Dam and Powerplant,21587.8,af,03/23/23
Lake Mead Hoover Dam and Powerplant,18800.8,af,03/24/23
Lake Mead Hoover Dam and Powerplant,18290.9,af,03/25/23
Lake Mead Hoover Dam and Powerplant,17490.9,af,03/26/23
Lake Mead Hoover Dam and Powerplant,25834.1,af,03/27/23
Lake Mead Hoover Dam and Powerplant,29475,af,03/28/23
Lake Mead Hoover Dam and Powerplant,27448.9,af,03/29/23
Lake Mead Hoover Dam and Powerplant,25931.7,af,03/30/23
Lake Mead Hoover Dam and Powerplant,21998.9,af,03/31/23
Lake Mead Hoover Dam and Powerplant,22989.9,af,04/01/23
Lake Mead Hoover Dam and Powerplant,23727.9,af,04/02/23
Lake Mead Hoover Dam and Powerplant,24708.1,af,04/03/23
Lake Mead Hoover Dam and Powerplant,27344.1,af,04/04/23
Lake Mead Hoover Dam and Powerplant,26385,af,04/05/23
Lake Mead Hoover Dam and Powerplant,30082.8,af,04/06/23
Lake Mead Hoover Dam and Powerplant,26667.9,af,04/07/23
Lake Mead Hoover Dam and Powerplant,25680.2,af,04/08/23
Lake Mead Hoover Dam and Powerplant,22507,af,04/09/23
Lake Mead Hoover Dam and Powerplant,27300.1,af,04/10/23
Lake Mead Hoover Dam and Powerplant,26827,af,04/11/23
Lake Mead Hoover Dam and Powerplant,26093.8,af,04/12/23
Lake Mead Hoover Dam and Powerplant,28526,af,04/13/23
Lake Mead Hoover Dam and Powerplant,25805.1,af,04/14/23
Lake Mead Hoover Dam and Powerplant,21695.9,af,04/15/23
Lake Mead Hoover Dam and Powerplant,21551.1,af,04/16/23
Lake Mead Hoover Dam and Powerplant,28941,af,04/17/23
Lake Mead Hoover Dam and Powerplant,28107.9,af,04/18/23
Lake Mead Hoover Dam and Powerplant,24927.1,af,04/19/23
Lake Mead Hoover Dam and Powerplant,28955.9,af,04/20/23
Lake Mead Hoover Dam and Powerplant,33637,af,04/21/23
Lake Mead Hoover Dam and Powerplant,36157.9,af,04/22/23
Lake Mead Hoover Dam and Powerplant,26135,af,04/23/23
Lake Mead Hoover Dam and Powerplant,28177.9,af,04/24/23
Lake Mead Hoover Dam and Powerplant,32279.1,af,04/25/23
Lake Mead Hoover Dam and Powerplant,35447.1,af,04/26/23
Lake Mead Hoover Dam and Powerplant,34845,af,04/27/23
Lake Mead Hoover Dam and Powerplant,34296.2,af,04/28/23
Lake Mead Hoover Dam and Powerplant,28355,af,04/29/23
Lake Mead Hoover Dam and Powerplant,22683.9,af,04/30/23
Lake Mead Hoover Dam and Powerplant,27685,af,05/01/23
Lake Mead Hoover Dam and Powerplant,32619,af,05/02/23
Lake Mead Hoover Dam and Powerplant,30205.9,af,05/03/23
Lake Mead Hoover Dam and Powerplant,32123.1,af,05/04/23
Lake Mead Hoover Dam and Powerplant,28547.8,af,05/05/23
Lake Mead Hoover Dam and Powerplant,27423.1,af,05/06/23
Lake Mead Hoover Dam and Powerplant,26904.9,af,05/07/23
Lake Mead Hoover Dam and Powerplant,26488.9,af,05/08/23
Lake Mead Hoover Dam and Powerplant,28014.9,af,05/09/23
Lake Mead Hoover Dam and Powerplant,26395.9,af,05/10/23
Lake Mead Hoover Dam and Powerplant,26885,af,05/11/23
Lake Mead Hoover Dam and Powerplant,33185.9,af,05/12/23
Lake Mead Hoover Dam and Powerplant,31021,af,05/13/23
Lake Mead Hoover Dam and Powerplant,29293,af,05/14/23
