datetime,inflow
3/11/1963,4751.424
3/12/1963,4680.234
3/13/1963,4645.656
3/14/1963,4748.373
3/15/1963,4730.067
3/16/1963,4793.121
3/17/1963,4748.373
3/18/1963,4531.752
3/19/1963,4594.806
3/20/1963,4371.066
3/21/1963,4556.16
3/22/1963,4501.242
3/23/1963,4436.154
3/24/1963,4444.29
3/25/1963,5074.83
3/26/1963,6232.176
3/27/1963,7468.848
3/28/1963,8034.3
3/29/1963,8307.873
3/30/1963,9041.13
3/31/1963,9742.86
4/1/1963,10390.38
4/2/1963,11199.155
4/3/1963,11123.035
4/4/1963,10809.04
4/5/1963,10019.295
4/6/1963,9191.49
4/7/1963,8243.796
4/8/1963,7803.2515
4/9/1963,7382.6885
4/10/1963,7520.656
4/11/1963,7991.6485
4/12/1963,8078.235
4/13/1963,7945.025
4/14/1963,7304.6655
4/15/1963,6745.1835
4/16/1963,7678.605
4/17/1963,8906.04
4/18/1963,10257.17
4/19/1963,10133.475
4/20/1963,8734.77
4/21/1963,7631.03
4/22/1963,6831.77
4/23/1963,6080.085
4/24/1963,5680.455
4/25/1963,5385.49
4/26/1963,4919.255
4/27/1963,4624.29
4/28/1963,4338.84
4/29/1963,4451.117
4/30/1963,4967.7815
5/1/1963,6001.3966
5/2/1963,5709.2672
5/3/1963,5075.9934
5/4/1963,4779.9428
5/5/1963,4798.5685
5/6/1963,5029.9193
5/7/1963,5937.6771
5/8/1963,7390.4817
5/9/1963,10253.938
5/10/1963,13175.232
5/11/1963,14949.575
5/12/1963,17037.614
5/13/1963,18331.61
5/14/1963,19027.623
5/15/1963,19655.015
5/16/1963,19978.514
5/17/1963,20498.073
5/18/1963,19743.242
5/19/1963,19243.289
5/20/1963,19851.075
5/21/1963,20341.225
5/22/1963,20860.784
5/23/1963,21096.056
5/24/1963,21439.161
5/25/1963,20586.3
5/26/1963,20105.953
5/27/1963,19753.045
5/28/1963,18959.002
5/29/1963,17831.657
5/30/1963,17331.704
5/31/1963,17096.432
6/1/1963,18783.905
6/2/1963,18446.785
6/3/1963,18099.13
6/4/1963,16887.605
6/5/1963,16455.67
6/6/1963,17098.305
6/7/1963,16221.793
6/8/1963,15473.808
6/9/1963,15075.585
6/10/1963,14693.1645
6/11/1963,15060.836
6/12/1963,15030.2845
6/13/1963,14363.419
6/14/1963,12652.535
6/15/1963,11693.85
6/16/1963,10840.515
6/17/1963,11511.5945
6/18/1963,11990.937
6/19/1963,12222.707
6/20/1963,12778.955
6/21/1963,12403.909
6/22/1963,12400.7485
6/23/1963,12229.028
6/24/1963,11881.373
6/25/1963,11079.6595
6/26/1963,10143.098
6/27/1963,9144.38
6/28/1963,8199.3905
6/29/1963,7481.33333
6/30/1963,4911.175
7/1/1963,4844.79167
7/2/1963,5064.44166
7/3/1963,4846.55833
7/4/1963,3523.70833
7/5/1963,4086.8625
7/6/1963,3161.71666
7/7/1963,3036.68333
7/8/1963,2980.13333
7/9/1963,3015.7625
7/10/1963,2675.74583
7/11/1963,2129.08334
7/12/1963,2324.3625
7/13/1963,3053.05
7/14/1963,3298.075
7/15/1963,3368.15416
7/16/1963,3116.07083
7/17/1963,3804.175
7/18/1963,3094.8125
7/19/1963,3322.69583
7/20/1963,3362.525
7/21/1963,2362.7625
7/22/1963,2279.07083
7/23/1963,2244.70417
7/24/1963,2756.9375
7/25/1963,2262.85417
7/26/1963,2161.09583
7/27/1963,827.07083
7/28/1963,1845.99166
7/29/1963,1270.23333
7/30/1963,1722.55416
7/31/1963,1671.12916
8/1/1963,1524.8375
8/2/1963,1407.36666
8/3/1963,1394.67917
8/4/1963,1903.8875
8/5/1963,1913.04583
8/6/1963,4779.23333
8/7/1963,3973.07083
8/8/1963,5175.50833
8/9/1963,4446.9875
8/10/1963,4674.87083
8/11/1963,5115.5125
8/12/1963,5550.60833
8/13/1963,5274.74584
8/14/1963,5150.72084
8/15/1963,4837.63334
8/16/1963,3985.50834
8/17/1963,3816.10834
8/18/1963,3802.91667
8/19/1963,4412.11667
8/20/1963,3992.9
8/21/1963,3851.22917
8/22/1963,3774.00833
8/23/1963,3444.28333
8/24/1963,4312.45833
8/25/1963,4542.35833
8/26/1963,5117.6125
8/27/1963,5851.09166
8/28/1963,5468.42916
8/29/1963,7129.65833
8/30/1963,6947.82917
8/31/1963,10444.8917
9/1/1963,12982.5292
9/2/1963,11503.3042
9/3/1963,11990.3292
9/4/1963,10040.7167
9/5/1963,6405.17083
9/6/1963,7418.125
9/7/1963,8020.1
9/8/1963,6893.70833
9/9/1963,5814.2875
9/10/1963,6354.16667
9/11/1963,7497.61667
9/12/1963,6422.14584
9/13/1963,6255.18334
9/14/1963,4767.89167
9/15/1963,5857.9
9/16/1963,4388.42084
9/17/1963,4951.575
9/18/1963,4465.55834
9/19/1963,5144.67084
9/20/1963,4712.09584
9/21/1963,5379.10834
9/22/1963,4976.78334
9/23/1963,6492.8125
9/24/1963,5954.95
9/25/1963,4313.8875
9/26/1963,4231.20416
9/27/1963,4546.8125
9/28/1963,4200.45
9/29/1963,4000.29583
9/30/1963,3393.27916
10/1/1963,3783.50416
10/2/1963,3155.81666
10/3/1963,2802.39583
10/4/1963,3007.59166
10/5/1963,2717.69583
10/6/1963,2961.20833
10/7/1963,2610.30833
10/8/1963,3312.10833
10/9/1963,1935.73333
10/10/1963,1935.22916
10/11/1963,2697.025
10/12/1963,1914.55833
10/13/1963,2426.2875
10/14/1963,1892.375
10/15/1963,1941.78333
10/16/1963,2744.41666
10/17/1963,1940.27083
10/18/1963,2506.45
10/19/1963,2798.3625
10/20/1963,3019.1875
10/21/1963,4325.48333
10/22/1963,4707.1375
10/23/1963,5248.10833
10/24/1963,5459.85833
10/25/1963,5118.5375
10/26/1963,4240.27916
10/27/1963,3352.94583
10/28/1963,4402.62083
10/29/1963,4050.20833
10/30/1963,4777.21666
10/31/1963,4200.95416
11/1/1963,4185.82916
11/2/1963,4192.8875
11/3/1963,4628.99166
11/4/1963,4442.95416
11/5/1963,4418.75416
11/6/1963,4408.16666
11/7/1963,3932.23333
11/8/1963,4525.6375
11/9/1963,5255.67083
11/10/1963,4826.625
11/11/1963,5456.32916
11/12/1963,4548.325
