datetime,total release,storage (ac-ft)
6/5/2014,17197.0417,10559464.6
6/6/2014,16121.2083,10547553.6
6/7/2014,11927.5417,10543301.6
6/8/2014,13288.9167,10543301.6
6/9/2014,12947,10533096.8
6/10/2014,14462.5833,10520340.8
6/11/2014,18167.125,10499109.6
6/12/2014,19677.5833,10477040.8
6/13/2014,19053.4167,10455858.8
6/14/2014,14946.3333,10449931.2
6/15/2014,16592.1667,10434688.8
6/16/2014,15039.3333,10417775.2
6/17/2014,15104.75,10410168.4
6/18/2014,13497.5833,10398335.6
6/19/2014,16140.375,10389883.6
6/20/2014,15975.9583,10380600.8
6/21/2014,13821.125,10372166.8
6/22/2014,11399.1667,10369636.6
6/23/2014,15721.9583,10357829
6/24/2014,16448.875,10340970
6/25/2014,22824.5417,10313197.2
6/26/2014,23255.1667,10285458
6/27/2014,19998.4167,10266138
6/28/2014,14878.9167,10255232
6/29/2014,16012.375,10244338
6/30/2014,15501,10232606
7/1/2014,15023.2083,10220874
7/2/2014,17837.4583,10205815.6
7/3/2014,19520.2917,10184069.2
7/4/2014,11285.2917,10186578.4
7/5/2014,14102.5417,10188251.2
7/6/2014,12768.5,10187414.8
7/7/2014,17525.875,10168197.4
7/8/2014,15139.875,10169032
7/9/2014,15533.3333,10164859
7/10/2014,13733,10166528.2
7/11/2014,18474,10158182.2
7/12/2014,11480,10163189.8
7/13/2014,13686,10169032
7/14/2014,17202,10152340
7/15/2014,16814,10143994
7/16/2014,13899,10138986.4
7/17/2014,14226.0833,10133149
7/18/2014,16543.25,10128151
7/19/2014,15541.4583,10123986
7/20/2014,10877.9583,10125652
7/21/2014,15942.1667,10118155
7/22/2014,17593,10108159
7/23/2014,15444,10100662
7/24/2014,15878.7083,10096497
7/25/2014,15603.4167,10092336
7/26/2014,15936.25,10084857
7/27/2014,12090.9167,10088181
7/28/2014,15727.875,10081533
7/29/2014,15410.375,10075716
7/30/2014,16081.4167,10068237
7/31/2014,18416.6667,10060758
8/1/2014,18656.0833,10045812.8
8/2/2014,11496.4583,10050789.2
8/3/2014,10681.7917,10053279
8/4/2014,14827.0833,10058265
8/5/2014,13097.2083,10058265
8/6/2014,14611.2917,10054941
8/7/2014,13673.9583,10051618.6
8/8/2014,17864.6667,10044154
8/9/2014,15764.25,10038348.2
8/10/2014,17511.25,10034201.2
8/11/2014,12825.5,10035860
8/12/2014,13019.0833,10026736.6
8/13/2014,12079.25,10035030.6
8/14/2014,11811.5833,10037518.8
8/15/2014,13861.5417,10035860
8/16/2014,11760.75,10040007
8/17/2014,11314.5,10043324.6
8/18/2014,13523.2917,10042495.2
8/19/2014,7864.54167,10054110
8/20/2014,8526.41667,10064913
8/21/2014,13309,10061589
8/22/2014,11114.7917,10067406
8/23/2014,8676.16667,10077378
8/24/2014,9594.29167,10084857
8/25/2014,9389.625,10089843
8/26/2014,9863.04167,10093167
8/27/2014,9793.91667,10097330
8/28/2014,11054.4167,10105660
8/29/2014,10197.7917,10114823
8/30/2014,5622.45833,10128984
8/31/2014,7287.625,10139821
9/1/2014,8629.29167,10149001.6
9/2/2014,10422.125,10151505.4
9/3/2014,10961.6667,10149836.2
9/4/2014,11168.2917,10146497.8
9/5/2014,16430.25,10132316
9/6/2014,14189.25,10126485
9/7/2014,15901.9583,10118988
9/8/2014,7976.91667,10123153
9/9/2014,9307.45833,10128984
9/10/2014,12257.2917,10131483
9/11/2014,14062.7083,10123986
9/12/2014,8922.25,10129817
9/13/2014,8518.29167,10134815
9/14/2014,9495.91667,10137317.2
9/15/2014,11794,10134815
9/16/2014,15264.7083,10123153
9/17/2014,17212.25,10106493
9/18/2014,15167.3333,10096497
9/19/2014,11168.75,10096497
9/20/2014,12686.9167,10091505
9/21/2014,8309.16667,10098163
9/22/2014,9791.91667,10096497
9/23/2014,10192.75,10098163
9/24/2014,14644.6667,10088181
9/25/2014,10620.7917,10086519
9/26/2014,8658.58333,10090674
9/27/2014,6964.54167,10108992
9/28/2014,8231,10124819
9/29/2014,11025.6667,10126485
9/30/2014,15765.25,10121487
10/1/2014,6991.25,10126485
10/2/2014,8255.125,10129817
10/3/2014,8726,10135648
10/4/2014,8333.5,10140655.6
10/5/2014,6075.20833,10149001.6
10/6/2014,11222.2083,10149001.6
10/7/2014,12801.7917,10140655.6
10/8/2014,12137,10129817
10/9/2014,8181,10135648
10/10/2014,6749.79167,10140655.6
10/11/2014,4542.95833,10151505.4
10/12/2014,4657.54167,10163189.8
10/13/2014,10167.1667,10160686
10/14/2014,11348.2917,10158182.2
10/15/2014,8328.25,10157347.6
10/16/2014,7058.79167,10163189.8
10/17/2014,4133.625,10174039.6
10/18/2014,3843.25,10184905.6
10/19/2014,3760.70833,10199124.4
10/20/2014,5508.91667,10205815.6
10/21/2014,5882.16667,10209161.2
10/22/2014,7852.41667,10217525.2
10/23/2014,7214.66667,10220874
10/24/2014,9053.75,10222550
10/25/2014,8514.41667,10224226
10/26/2014,7619.41667,10230930
10/27/2014,7466.25,10231768
10/28/2014,10774.4167,10230930
10/29/2014,7007.5,10230930
10/30/2014,7139,10236796
10/31/2014,6533.41667,10243500
11/1/2014,7045.66667,10245176
11/2/2014,10764.9583,10246014
11/3/2014,9908.375,10244338
11/4/2014,11551.4167,10237634
11/5/2014,14417.6667,10225902
11/6/2014,18614.8333,10203306.4
11/7/2014,13568.0417,10194106
11/8/2014,9039.75,10193269.6
11/9/2014,6799.70833,10198288
11/10/2014,8806.75,10195778.8
11/11/2014,9798.08333,10191596.8
11/12/2014,13088.2083,10200797.2
11/13/2014,12154.9583,10246014
11/14/2014,14689.2917,10309830.8
11/15/2014,13059.9583,10363732.8
11/16/2014,13348.4583,10399180.8
11/17/2014,15247.5833,10405097.2
11/18/2014,13809.5833,10398335.6
11/19/2014,13801.6667,10369636.6
11/20/2014,10676.75,10362046
11/21/2014,8731.08333,10364576.2
11/22/2014,7957.875,10362889.4
11/23/2014,8525.45833,10363732.8
11/24/2014,13064,10377227.2
11/25/2014,12416.1667,10344336.4
11/26/2014,12789.6667,10336762
11/27/2014,7216.20833,10339286.8
11/28/2014,11818.2083,10334237.2
11/29/2014,12240.7917,10323296.4
11/30/2014,15465.2917,10308989.2
12/1/2014,6483.66667,10315722
12/2/2014,6917.66667,10318246.8
12/3/2014,8386.75,10325821.2
12/4/2014,6698.91667,10341811.6
12/5/2014,8679.75,10352768.6
12/6/2014,8123.08333,10368793.2
12/7/2014,10006.625,10378070.6
12/8/2014,7931.625,10389038.4
12/9/2014,7990.45833,10400871.2
12/10/2014,8285.5,10415239.6
12/11/2014,7612.83333,10429608
12/12/2014,8082.83333,10444850.4
12/13/2014,8129.66667,10456705.6
12/14/2014,8318.29167,10470254.4
12/15/2014,8538.04167,10481284.8
12/16/2014,6217.45833,10498260.8
12/17/2014,5554.375,10514388
12/18/2014,5717.29167,10534797.6
12/19/2014,7099.125,10550955.2
12/20/2014,6986.91667,10565430
12/21/2014,7969.41667,10578213
12/22/2014,8723.04167,10592700.4
12/23/2014,9777.70833,10597813.6
12/24/2014,6873.29167,10605496
12/25/2014,6952.54167,10619160
12/26/2014,11289.375,10625138
12/27/2014,10115.0833,10632824
12/28/2014,8746.25,10643073.6
12/29/2014,9432.41667,10652485.2
12/30/2014,7221.58333,10666174.8
12/31/2014,9754.08333,10667030.4
1/1/2015,10290,10676442
1/2/2015,14091.4167,10676442
1/3/2015,11299.875,10681575.6
1/4/2015,10945.4583,10686712.8
1/5/2015,12459,10691857.2
1/6/2015,9420.95455,10699573.8
1/7/2015,10789.0833,10704718.2
1/8/2015,11866.0417,10709862.6
1/9/2015,11965.3333,10715007
1/10/2015,10014.7917,10726153.2
1/11/2015,9416.70833,10740756
1/12/2015,12682.2917,10745052
1/13/2015,12942,10745052
1/14/2015,15077.5417,10742474.4
1/15/2015,14353.1667,10744192.8
1/16/2015,9235.33333,10753644
1/17/2015,9869.5,10764813.6
1/18/2015,8501.25,10780299
1/19/2015,12632.25,10786326
1/20/2015,13115.4167,10785465
1/21/2015,9781.375,10794075
1/22/2015,17316.625,10786326
1/23/2015,16055.5833,10783743
1/24/2015,14750.4167,10784604
1/25/2015,15235.375,10782882
1/26/2015,19675.125,10769968.8
1/27/2015,20796.375,10760517.6
1/28/2015,20467.625,10745911.2
1/29/2015,20418.25,10735600.8
1/30/2015,19331.2083,10727868
1/31/2015,14917.75,10728727.2
2/1/2015,9049.29167,10739037.6
2/2/2015,11968.2917,10743333.6
2/3/2015,11017.625,10749348
2/4/2015,12145.9583,10747629.6
2/5/2015,11758.2917,10747629.6
2/6/2015,11164.2917,10750207.2
2/7/2015,10650.4167,10752784.8
2/8/2015,10710,10757940
2/9/2015,9468.75,10760517.6
2/10/2015,10125.75,10759658.4
2/11/2015,12500.375,10757080.8
2/12/2015,13546.5,10751925.6
2/13/2015,10289.4583,10754503.2
2/14/2015,7903.33333,10762236
2/15/2015,7096.70833,10770828
2/16/2015,8957.45833,10775994
2/17/2015,10632.4167,10773411
2/18/2015,11433.625,10769109.6
2/19/2015,11731,10769109.6
2/20/2015,11841.4167,10765672.8
2/21/2015,12171.6667,10765672.8
2/22/2015,12038.5417,10763954.4
2/23/2015,11398.8333,10765672.8
2/24/2015,9322.58333,10768250.4
2/25/2015,10761.9167,10767391.2
2/26/2015,11930.5833,10767391.2
2/27/2015,10905.7917,10764813.6
2/28/2015,10064.75,10769109.6
3/1/2015,12520.375,10768250.4
3/2/2015,15639.25,10763095.2
3/3/2015,16116.125,10757940
